Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Orcaella,1.000,0.000,0.000,79.990
Branta,1.000,1.027,0.017,20.134
Sapajus,1.000,0.000,0.000,10.959
Cuculus,1.000,0.000,0.000,79.990
Didelphimorphia,0.549,2.063,0.026,163.889
Gallinago,1.000,0.000,0.000,79.990
Piliocolobus,1.000,0.000,0.000,79.990
Stercorarius,1.000,0.000,0.000,79.990
Sylvia,1.000,0.000,0.000,79.990
Thalassoica,1.000,0.000,0.000,10.959
Urocyon,0.327,Inf,0.053,Inf
Aix,0.327,Inf,0.053,Inf
Celeus,1.000,0.000,0.000,79.990
Conepatus,1.000,0.000,0.000,79.990
Pagodroma,1.000,0.000,0.000,79.990
Promops,1.000,0.000,0.000,79.990
Prunella,0.327,Inf,0.053,Inf
Ochotona,0.106,Inf,0.388,Inf
Rhynochetos,1.000,0.000,0.000,Inf
Tupaia,1.000,0.000,0.000,10.959
Oryx,0.327,Inf,0.053,Inf
Struthio,1.000,0.000,0.000,Inf
Oligoryzomys,0.327,Inf,0.053,Inf
Geomys,1.000,0.000,0.000,79.990
Pongo,0.327,Inf,0.053,Inf
Urocitellus,1.000,0.000,0.000,79.990
Trogon,1.000,0.000,0.000,79.990
Tragulus,1.000,0.000,0.000,Inf
Echinops,1.000,0.000,0.000,79.990
Lama,0.327,Inf,0.053,Inf
Myospalax,1.000,0.000,0.000,Inf
Arctocephalus,0.327,Inf,0.053,Inf
Alauda,0.327,Inf,0.053,Inf
Cacatua,1.000,0.000,0.000,79.990
Lycaon,0.327,Inf,0.053,Inf
Noctilio,0.327,Inf,0.053,Inf
Phylloscopus,1.000,0.000,0.000,79.990
Transandinomys,1.000,0.000,0.000,Inf
Leopoldamys,0.327,Inf,0.053,Inf
Spermophilus,1.000,0.000,0.000,79.990
Callithrix,1.000,0.000,0.000,79.990
Tamiops,0.327,Inf,0.053,Inf
Chiromyscus,1.000,0.000,0.000,79.990
Globicephala,1.000,0.000,0.000,10.959
Ictidomys,1.000,0.000,0.000,79.990
Myadestes,0.327,Inf,0.053,Inf
Numida,1.000,0.000,0.000,79.990
Pycnonotus,0.327,Inf,0.053,Inf
Gorilla,1.000,0.000,0.000,Inf
Plecotus,0.327,Inf,0.053,Inf
Mandrillus,1.000,0.000,0.000,Inf
