Genus,Pvalue,Odds ratio,95% confidence interval lower,95% confidence interval upper
Xiphocolaptes,1.000,0.000,0.000,Inf
Zenkerella,1.000,0.000,0.000,Inf
Zonotrichia,1.000,0.000,0.000,Inf
Zoothera,1.000,0.000,0.000,Inf
Zygodontomys,1.000,0.000,0.000,Inf
Aonyx,1.000,0.000,0.000,Inf
Saccostomus,1.000,0.000,0.000,Inf
Catamenia,1.000,0.000,0.000,Inf
Pseudasthenes,1.000,0.000,0.000,Inf
Northiella,1.000,0.000,0.000,Inf
Yungipicus,1.000,0.000,0.000,Inf
Balionycteris,1.000,0.000,0.000,Inf
Ceyx,1.000,0.000,0.000,Inf
Sclerurus,1.000,0.000,0.000,Inf
Rhogeessa,1.000,0.000,0.000,Inf
Scolomys,1.000,0.000,0.000,Inf
Catagonus,1.000,0.000,0.000,Inf
Pithecia,1.000,0.000,0.000,Inf
Pachyptila,1.000,0.000,0.000,Inf
Dasykaluta,1.000,0.000,0.000,Inf
Micropteropus,1.000,0.000,0.000,Inf
Locustella,1.000,0.000,0.000,Inf
Serinus,1.000,0.000,0.000,Inf
Callicebinae,1.000,0.000,0.000,Inf
Doryfera,1.000,0.000,0.000,Inf
Dryolimnas,1.000,0.000,0.000,Inf
Haplospiza,1.000,0.000,0.000,Inf
Melanodera,1.000,0.000,0.000,Inf
Oreopholus,1.000,0.000,0.000,Inf
Haringtonhippus,1.000,0.000,0.000,Inf
Mimetillus,1.000,0.000,0.000,Inf
Pseudobulweria,1.000,0.000,0.000,Inf
Smicrornis,1.000,0.000,0.000,Inf
Theristicus,1.000,0.000,0.000,Inf
Amaurolimnas,1.000,0.000,0.000,Inf
Epinecrophylla,1.000,0.000,0.000,Inf
Haplonycteris,1.000,0.000,0.000,Inf
Herpsilochmus,1.000,0.000,0.000,Inf
Lissonycteris,1.000,0.000,0.000,Inf
Pheucticus,1.000,0.000,0.000,Inf
Actitis,1.000,0.000,0.000,Inf
Chiruromys,1.000,0.000,0.000,Inf
Cossypha,1.000,0.000,0.000,Inf
Cranioleuca,1.000,0.000,0.000,Inf
Galagoides,1.000,0.000,0.000,Inf
Geranospiza,1.000,0.000,0.000,Inf
Irania,1.000,0.000,0.000,Inf
Oxymycterus,1.000,0.000,0.000,Inf
Passerina,1.000,0.000,0.000,Inf
Syconycteris,1.000,0.000,0.000,Inf
Atlapetes,1.000,0.000,0.000,Inf
Cephalopachus,1.000,0.000,0.000,Inf
Eugenes,1.000,0.000,0.000,Inf
Frederickena,1.000,0.000,0.000,Inf
Galbula,1.000,0.000,0.000,Inf
Glareola,1.000,0.000,0.000,Inf
Glaucomys,1.000,0.000,0.000,Inf
Gymnobelideus,1.000,0.000,0.000,Inf
Lalage,1.000,0.000,0.000,Inf
Macronyx,1.000,0.000,0.000,Inf
Magumma,1.000,0.000,0.000,Inf
Megaloglossus,1.000,0.000,0.000,Inf
Micaelamys,1.000,0.000,0.000,Inf
Natalus,1.000,0.000,0.000,Inf
Peneothello,1.000,0.000,0.000,Inf
Phaetusa,1.000,0.000,0.000,Inf
Phegornis,1.000,0.000,0.000,Inf
Platygonus,1.000,0.000,0.000,Inf
Sarothrura,1.000,0.000,0.000,Inf
Tachornis,1.000,0.000,0.000,Inf
Thryomanes,1.000,0.000,0.000,Inf
Vultur,1.000,0.000,0.000,Inf
Agriornis,1.000,0.000,0.000,Inf
Anthipes,1.000,0.000,0.000,Inf
Aphanotriccus,1.000,0.000,0.000,Inf
Canirallus,1.000,0.000,0.000,Inf
Charitospiza,1.000,0.000,0.000,Inf
Corapipo,1.000,0.000,0.000,Inf
Cricetomys,1.000,0.000,0.000,Inf
Cuniculus,1.000,0.000,0.000,Inf
Cyanerpes,1.000,0.000,0.000,Inf
Cyttarops,1.000,0.000,0.000,Inf
Dicaeum,1.000,0.000,0.000,Inf
Eremodipus,1.000,0.000,0.000,Inf
Eugerygone,1.000,0.000,0.000,Inf
Goldmania,1.000,0.000,0.000,Inf
Granatellus,1.000,0.000,0.000,Inf
Hylopezus,1.000,0.000,0.000,Inf
Hypsiprymnodon,1.000,0.000,0.000,Inf
Lagurus,1.000,0.000,0.000,Inf
Leptocoma,1.000,0.000,0.000,Inf
Lophornis,1.000,0.000,0.000,Inf
Luscinia,1.000,0.000,0.000,Inf
Melonycteris,1.000,0.000,0.000,Inf
Mesembriomys,1.000,0.000,0.000,Inf
Myoprocta,1.000,0.000,0.000,Inf
Myopus,1.000,0.000,0.000,Inf
Neohylomys,1.000,0.000,0.000,Inf
Neopsephotus,1.000,0.000,0.000,Inf
Otocyon,1.000,0.000,0.000,Inf
Otopteropus,1.000,0.000,0.000,Inf
Passerculus,1.000,0.000,0.000,Inf
Pectinator,1.000,0.000,0.000,Inf
Pogonotriccus,1.000,0.000,0.000,Inf
Pseudochirops,1.000,0.000,0.000,Inf
Ramphocaenus,1.000,0.000,0.000,Inf
Rhagomys,1.000,0.000,0.000,Inf
Rheomys,1.000,0.000,0.000,Inf
Rhinopoma,1.000,0.000,0.000,Inf
Scissirostrum,1.000,0.000,0.000,Inf
Simosthenurus,1.000,0.000,0.000,Inf
Soricidae,1.000,0.000,0.000,Inf
Sotalia,1.000,0.000,0.000,Inf
Todirostrum,1.000,0.000,0.000,Inf
Xolmis,1.000,0.000,0.000,Inf
Abeomelomys,1.000,0.000,0.000,Inf
Acanthiza,1.000,0.000,0.000,Inf
Aeorestes,1.000,0.000,0.000,Inf
Alopecoenas,1.000,0.000,0.000,Inf
Anthocephala,1.000,0.000,0.000,Inf
Apaloderma,1.000,0.000,0.000,Inf
Aramides,1.000,0.000,0.000,Inf
AS.i..21,1.000,0.000,0.000,Inf
AS.i..32,1.000,0.000,0.000,Inf
Augastes,1.000,0.000,0.000,Inf
Auliscomys,1.000,0.000,0.000,Inf
Bartramia,1.000,0.000,0.000,Inf
Bostrychia,1.000,0.000,0.000,Inf
Cacicus,1.000,0.000,0.000,Inf
Calonectris,1.000,0.000,0.000,Inf
Carpococcyx,1.000,0.000,0.000,Inf
Caryothraustes,1.000,0.000,0.000,Inf
Casiornis,1.000,0.000,0.000,Inf
Chalcopsitta,1.000,0.000,0.000,Inf
Chamaea,1.000,0.000,0.000,Inf
Chamaepetes,1.000,0.000,0.000,Inf
Charmosyna,1.000,0.000,0.000,Inf
Chilonatalus,1.000,0.000,0.000,Inf
Chrysuronia,1.000,0.000,0.000,Inf
Clibanornis,1.000,0.000,0.000,Inf
Coryphistera,1.000,0.000,0.000,Inf
Crossarchus,1.000,0.000,0.000,Inf
Curruca,1.000,0.000,0.000,Inf
Delomys,1.000,0.000,0.000,Inf
Diclidurus,1.000,0.000,0.000,Inf
Didunculus,1.000,0.000,0.000,Inf
Diglossa,1.000,0.000,0.000,Inf
Diomedea,1.000,0.000,0.000,Inf
Drymornis,1.000,0.000,0.000,Inf
Elanus,1.000,0.000,0.000,Inf
Enchisthenes,1.000,0.000,0.000,Inf
Erythropitta,1.000,0.000,0.000,Inf
Eubucco,1.000,0.000,0.000,Inf
Eudiscopus,1.000,0.000,0.000,Inf
Fluvicola,1.000,0.000,0.000,Inf
Funisciurus,1.000,0.000,0.000,Inf
Galictis,1.000,0.000,0.000,Inf
Garritornis,1.000,0.000,0.000,Inf
Grallaria,1.000,0.000,0.000,Inf
Gubernatrix,1.000,0.000,0.000,Inf
Guira,1.000,0.000,0.000,Inf
Gymnocichla,1.000,0.000,0.000,Inf
Harpiola,1.000,0.000,0.000,Inf
Heliosciurus,1.000,0.000,0.000,Inf
Heteralocha,1.000,0.000,0.000,Inf
Hierococcyx,1.000,0.000,0.000,Inf
Hsunycteris,1.000,0.000,0.000,Inf
Hydrodamalis,1.000,0.000,0.000,Inf
Hypothymis,1.000,0.000,0.000,Inf
Ibycter,1.000,0.000,0.000,Inf
Ichneumia,1.000,0.000,0.000,Inf
Ictonyx,1.000,0.000,0.000,Inf
Inezia,1.000,0.000,0.000,Inf
Ixoreus,1.000,0.000,0.000,Inf
Jacamerops,1.000,0.000,0.000,Inf
Laephotis,1.000,0.000,0.000,Inf
Lepidopyga,1.000,0.000,0.000,Inf
Leptonycteris,1.000,0.000,0.000,Inf
Lessonia,1.000,0.000,0.000,Inf
Liberiictis,1.000,0.000,0.000,Inf
Lorentzimys,1.000,0.000,0.000,Inf
Loxigilla,1.000,0.000,0.000,Inf
Megarynchus,1.000,0.000,0.000,Inf
Melithreptus,1.000,0.000,0.000,Inf
Monophyllus,1.000,0.000,0.000,Inf
Mosia,1.000,0.000,0.000,Inf
Myiomela,1.000,0.000,0.000,Inf
Myiophobus,1.000,0.000,0.000,Inf
Myiozetetes,1.000,0.000,0.000,Inf
Myrmeciza,1.000,0.000,0.000,Inf
Mystacornis,1.000,0.000,0.000,Inf
Neamblysomus,1.000,0.000,0.000,Inf
Nemosia,1.000,0.000,0.000,Inf
Neocossyphus,1.000,0.000,0.000,Inf
Neocrex,1.000,0.000,0.000,Inf
Neopipo,1.000,0.000,0.000,Inf
Nettapus,1.000,0.000,0.000,Inf
Nothoprocta,1.000,0.000,0.000,Inf
Nothura,1.000,0.000,0.000,Inf
Nyctidromus,1.000,0.000,0.000,Inf
Nyctiphrynus,1.000,0.000,0.000,Inf
Ocyphaps,1.000,0.000,0.000,Inf
Onychorhynchus,1.000,0.000,0.000,Inf
Oreoryzomys,1.000,0.000,0.000,Inf
Orthorhyncus,1.000,0.000,0.000,Inf
Oryzoborus,1.000,0.000,0.000,Inf
Otomys,1.000,0.000,0.000,Inf
Otonyctomys,1.000,0.000,0.000,Inf
Pachycephalopsis,1.000,0.000,0.000,Inf
Paradoxornis,1.000,0.000,0.000,Inf
Paranyctimene,1.000,0.000,0.000,Inf
Passerella,1.000,0.000,0.000,Inf
Perimyotis,1.000,0.000,0.000,Inf
Perissodactyla,1.000,0.000,0.000,Inf
Phainoptila,1.000,0.000,0.000,Inf
Phalacrocoracidae,1.000,0.000,0.000,Inf
Phalcoboenus,1.000,0.000,0.000,Inf
Philohydor,1.000,0.000,0.000,Inf
Philydor,1.000,0.000,0.000,Inf
Phocoenoides,1.000,0.000,0.000,Inf
Phylidonyris,1.000,0.000,0.000,Inf
Phyllergates,1.000,0.000,0.000,Inf
Phylloderma,1.000,0.000,0.000,Inf
Pipilo,1.000,0.000,0.000,Inf
Pipraeidea,1.000,0.000,0.000,Inf
Plegadis,1.000,0.000,0.000,Inf
Podicipediformes,1.000,0.000,0.000,Inf
Porphyriops,1.000,0.000,0.000,Inf
Psarocolius,1.000,0.000,0.000,Inf
Pseudastur,1.000,0.000,0.000,Inf
Pseudocolopteryx,1.000,0.000,0.000,Inf
Psittirostra,1.000,0.000,0.000,Inf
Pteroptochos,1.000,0.000,0.000,Inf
Pyriglena,1.000,0.000,0.000,Inf
Raphus,1.000,0.000,0.000,Inf
Rhinoptilus,1.000,0.000,0.000,Inf
Rhyticeros,1.000,0.000,0.000,Inf
Rhytipterna,1.000,0.000,0.000,Inf
Rissa,1.000,0.000,0.000,Inf
Rupornis,1.000,0.000,0.000,Inf
Saccolaimus,1.000,0.000,0.000,Inf
Sappho,1.000,0.000,0.000,Inf
Scotomanes,1.000,0.000,0.000,Inf
Steno,1.000,0.000,0.000,Inf
Sylvilagus,1.000,0.000,0.000,Inf
Syma,1.000,0.000,0.000,Inf
Syrigma,1.000,0.000,0.000,Inf
Tapecomys,1.000,0.000,0.000,Inf
Tapera,1.000,0.000,0.000,Inf
Tatera,1.000,0.000,0.000,Inf
Tayassu,1.000,0.000,0.000,Inf
Thamnolaea,1.000,0.000,0.000,Inf
Thamnophilidae,1.000,0.000,0.000,Inf
Threnetes,1.000,0.000,0.000,Inf
Tityra,1.000,0.000,0.000,Inf
Trinycteris,1.000,0.000,0.000,Inf
Trochilus,1.000,0.000,0.000,Inf
Uromys,1.000,0.000,0.000,Inf
Urosticte,1.000,0.000,0.000,Inf
Xerus,1.000,0.000,0.000,Inf
Zygogeomys,1.000,0.000,0.000,Inf
